Country Name,Country Code,Year,ICT Service Imports (%),ICT Service Exports,Service Imports,Calculated ICT Service Imports,ICT_Exp-Imp,Cloud_Revenue_pC,Cloud_Companies_pP
Austria,AUT,2022,49.3518969044677,10498954871.3068,76123932700.406,37568604785.93075,-27069649914.623947,177.6350104811299,5.346402316774338
Austria,AUT,2023,50.8995926015605,11460826826.8273,84397990312.8981,42958233233.16962,-31497406406.34232,526.6159170392434,5.271828665568369
Austria,AUT,2024,51.0423742847202,12117413788.5283,90543023761.9065,46215309077.25546,-34097895288.727165,600.1842042919309,5.240746806419915
Azerbaijan,AZE,2018,2.3967199298566,78995000.0,6835664739.14117,163831739.1411766,-84836739.14117661,0.8861466571955248,0.2020610224287735
Azerbaijan,AZE,2019,17.0879269671909,58438000.0,6555583404.43728,1120213304.4235291,-1061775304.4235291,1.300380836290385,0.2009848256456638
Azerbaijan,AZE,2020,24.9362632280651,65155000.0,5555390897.56471,1385306897.5647044,-1320151897.5647044,1.914045056979948,0.2005213555243633
Azerbaijan,AZE,2021,5.48801060341088,96287000.0,6013082611.3,329998611.2999999,-233711611.2999999,2.809170211130285,0.1994813484939158
Azerbaijan,AZE,2022,30.8943885141122,134796000.0,7765216000.0,2399016000.000003,-2264220000.000003,4.50517837963479,0.1987478883036868
Azerbaijan,AZE,2023,29.2411919969262,138759000.0,8619888000.0,2520558000.000002,-2381799000.000002,9.61362543009828,0.1974918534610447
Azerbaijan,AZE,2024,37.0640414545263,111256000.0,10171724000.0,3770052000.000001,-3658796000.000001,11.55265227167721,0.1951409893648161
Bahrain,BHR,2018,2.66340580923984,880851063.8297873,7938563829.787234,211436170.212766,669414893.6170213,4.889371433563376,NaN
Bahrain,BHR,2019,7.13092799747912,890957446.80851,8440159574.46808,601861702.127659,289095744.680851,7.02497402623391,NaN
Bahrain,BHR,2020,7.30782104206181,907712765.957446,9535106382.97872,696808510.6382977,210904255.3191483,10.04702368744854,NaN
Bahrain,BHR,2021,19.4302742562755,991223404.255319,10531382978.7234,2046276595.7446723,-1055053191.4893532,13.94040363488714,NaN
Bahrain,BHR,2022,17.6096265639579,1409574468.0851,11117287234.0425,1957712765.9574485,-548138297.8723485,17.56301809951201,NaN
Bahrain,BHR,2023,21.3775465208572,1334574468.0851,12062765957.4468,2578723404.255316,-1244148936.1702158,39.31623492560762,NaN
Bahrain,BHR,2024,20.9065898637321,1406648936.17021,12373936170.2127,2586968085.1063685,-1180319148.936159,46.63250898319613,NaN
Bangladesh,BGD,2018,12.1113817108665,587843450.2490222,9619170019.774632,1165014398.512138,-577170948.2631156,0.2951350010912384,0.173529338853219
Bangladesh,BGD,2019,12.6853826963257,511501279.199494,9557782797.05217,1212441325.0896504,-700940045.8901564,0.4024064052885432,0.1839971541773487
Bangladesh,BGD,2020,11.396779395093,405083022.250769,7926619916.82478,903379385.4080244,-498296363.1572554,0.5488828213339487,0.1821615286995489
Bangladesh,BGD,2021,14.7741715089909,618499207.742805,10866010472.6774,1605363023.4182718,-986863815.6754668,0.747291201201234,0.1800104406055551
Bangladesh,BGD,2022,16.6295518886665,721191040.310312,11502828339.5161,1912868807.384065,-1191677767.0737529,1.021824592274003,0.1839544267742701
Bangladesh,BGD,2023,17.3476727302939,638213218.133134,9372409225.21954,1625894879.33496,-987681661.201826,1.993617921392334,0.1820541581756999
Bangladesh,BGD,2024,19.9997062367689,715028938.086911,12248381244.9136,2449640267.742218,-1734611329.655307,2.270891646478555,0.1860259622483563
Belgium,BEL,2018,49.8045864107925,14230390004.13919,123945705092.0695,61730645795.0458,-47500255790.90661,79.1831000256103,10.35178524431968
Belgium,BEL,2019,52.6733644640315,14884703724.1069,128810868237.038,67849018095.77841,-52964314371.67151,110.8984780183576,10.47486033519553
Belgium,BEL,2020,57.2408206535367,15159814878.2671,120544215956.095,69000498463.64032,-53840683585.37322,155.1994067166421,10.50164901926749
Belgium,BEL,2021,55.9960303894548,18316586130.7359,137435519991.991,76958435540.6205,-58641849409.8846,217.8247953068915,10.47165729121592
Belgium,BEL,2022,53.9852287819907,17910585419.3317,144612162028.423,78069206517.62724,-60158621098.29555,284.1479699325999,10.41487347219831
Belgium,BEL,2023,54.2842776151034,20779773792.8243,156464017972.441,84935361883.90515,-64155588091.08086,642.8350350753115,10.3040109001107
Belgium,BEL,2024,53.6189726804708,22075218745.1302,164248235584.382,88068216566.1451,-65992997821.01489,729.2507574644397,10.23948548701024
Belize,BLZ,2018,32.1203231891954,20722707.51,237857761.577981,76400681.74943335,-55677974.23943335,2.298566459728319,NaN
Belize,BLZ,2019,42.0894815944249,29206236.445,234691297.922604,98780350.64285132,-69574114.19785133,3.282656066414515,NaN
Belize,BLZ,2020,35.1809948097873,46096800.0,170386731.960545,59943747.32760554,-13846947.327605538,4.689608079559471,NaN
Belize,BLZ,2021,29.4172238218052,76419500.0,293363527.983556,86299405.63846679,-9879905.63846679,6.718504559723634,NaN
Belize,BLZ,2022,24.0726870887349,91492500.0,349935270.860169,84238822.76728539,7253677.232714608,9.650174931966934,NaN
Belize,BLZ,2023,31.0364794771175,105083300.0,307792287.251134,95527890.06484877,9555409.935151234,23.1246390575218,NaN
Belize,BLZ,2024,28.9314074439064,115848330.88,362462297.677016,104865444.1714824,10982886.708517596,25.73736180160912,NaN
Bhutan,BTN,2018,-5.78715610286792,1246455.25332297,228261957.0210021,-13209875.776266672,14456331.029589642,0.4185398465101986,0.0
Bhutan,BTN,2019,-0.128250162841499,2373909.20345089,219218302.154267,-281147.82949121675,2655057.0329421065,0.5715670330508942,0.0
Bhutan,BTN,2020,-18.506017594155,1777274.18663755,225520503.851276,-41734864.12114415,43512138.3077817,0.7816060305857434,0.0
Bhutan,BTN,2021,-19.3479693764686,1575349.68927402,136160925.727117,-26344374.21239876,27919723.90167278,1.068875061235142,0.0
Bhutan,BTN,2022,18.9574858303556,1192957.9114191,209715246.472011,39756738.13402681,-38563780.22260771,1.390540249044638,0.0
Bhutan,BTN,2023,-1.94421040751042,896512.729272715,323392256.596901,-6287425.909839753,7183938.639112468,2.865311692949351,0.0
Bhutan,BTN,2024,8.36034723965364,1288128.10859658,227833099.540594,19047638.24845938,-17759510.1398628,3.276304428707447,0.0
Bolivia,BOL,2018,36.5757506534265,85529357.1398237,3089472122.596634,1129997620.068068,-1044468262.9282444,1.413181253677533,NaN
Bolivia,BOL,2019,30.8114875144693,43855777.0475784,2871435057.8404,884731854.3325891,-840876077.2850107,1.963977019701634,NaN
Bolivia,BOL,2020,36.2065512222818,49436385.9187934,1728570355.87811,625855711.3141867,-576419325.3953933,2.729979916481789,NaN
Bolivia,BOL,2021,33.7187953664771,53937322.8122005,1960590716.2119,661087571.5736384,-607150248.7614379,3.792246040882299,NaN
Bolivia,BOL,2022,26.7326709086984,52191486.35213,2709212343.45289,724244819.9930968,-672053333.6409668,4.952075248264304,NaN
Bolivia,BOL,2023,26.5542092512083,49929419.9917445,2490219579.24719,661258117.8878577,-611328697.8961132,11.33496721588626,NaN
Bolivia,BOL,2024,27.5445695097306,49957251.4125287,2212973309.29707,609553971.411117,-559596719.9985882,12.66714401103159,NaN
Bosnia and Herzegovina,BIH,2018,13.9647872224967,202510959.5905228,734716256.117525,102601561.85590623,99909397.73461656,NaN,NaN
Bosnia and Herzegovina,BIH,2019,15.3088858209994,229752326.071375,772684180.012746,118289338.87507674,111462987.19629829,NaN,NaN
Bosnia and Herzegovina,BIH,2020,24.3160351504583,319688217.520016,558224113.5972,135737971.68062943,183950245.83938652,NaN,NaN
Bosnia and Herzegovina,BIH,2021,19.5134383510891,417422827.909491,739725528.095065,144345884.89209878,273076943.0173922,NaN,NaN
Bosnia and Herzegovina,BIH,2022,16.8129486185447,424023939.104285,901085384.720984,151499022.74235487,272524916.36193013,NaN,NaN
Bosnia and Herzegovina,BIH,2023,9.47252190007943,463978051.325762,1129183310.9523,106962136.42199862,357015914.9037633,NaN,NaN
Bosnia and Herzegovina,BIH,2024,12.380496290849,508348767.536089,1267159577.65495,156880644.51070893,351468123.0253801,NaN,NaN
Botswana,BWA,2018,47.0611165886864,24465781.85703092,1254059688.401756,590174492.0504678,-565708710.193437,1.469275254330819,NaN
Botswana,BWA,2019,35.0828389726764,17784678.0372271,1370011046.19796,480638769.2455096,-462854091.2082825,1.999585558556571,NaN
Botswana,BWA,2020,59.7975397779339,22527750.3017195,1264101076.38214,755901343.9829006,-733373593.6811811,2.725556100431155,NaN
Botswana,BWA,2021,57.3017458458456,14372645.7489985,1174850233.30838,673209694.7596918,-658837049.0106933,3.722054925467996,NaN
Botswana,BWA,2022,52.0445556441013,24310537.577915,1054376950.93278,548745798.9267893,-524435261.3488743,4.445103673590094,NaN
Botswana,BWA,2023,56.2286616790753,29875710.2843272,1035807127.43194,582420485.3314539,-552544775.0471268,9.756244570597715,NaN
Botswana,BWA,2024,49.6343153244577,35334750.9551263,1290294455.76825,640428818.7900085,-605094067.8348823,11.66897605729699,NaN
Brazil,BRA,2018,53.1305785956123,2617476710.38,73372063941.61,38983002099.72001,-36365525389.34001,7.722009625969586,2.764744902652896
Brazil,BRA,2019,53.2473070974426,2573792241.52,71514059957.37,38079311123.35003,-35505518881.83003,11.22051126197445,2.813852813852814
Brazil,BRA,2020,64.812160699832,2551741787.51,52171019944.9,33813165285.43,-31261423497.92,16.31300145133427,2.849425095020678
Brazil,BRA,2021,54.2396420365191,3300527152.0,58438818790.8,31697006122.49998,-28396478970.49998,23.75441412337074,2.870007234512432
Brazil,BRA,2022,48.5292738943957,4674367953.97,82169713347.71,39876365248.750015,-35201997294.780014,30.6719702135007,2.873903909173255
Brazil,BRA,2023,53.7403821221707,5783150863.64,89170513483.51,47920574686.34002,-42137423822.70002,82.63742920751547,2.886227827771086
Brazil,BRA,2024,54.5327212630498,6176660177.31,103238392929.47,56298705052.67999,-50122044875.37,93.65937579905956,2.883566025665149
Brunei Darussalam,BRN,2018,47.0529591194436,1000185.39701577,1575625756.373348,741378543.0217755,-740378357.6247597,3.591862138627721,0.0
Brunei Darussalam,BRN,2019,52.3174435453075,924154.88685189,1806316939.12542,945018844.876268,-944094689.989416,4.828136738781088,0.0
Brunei Darussalam,BRN,2020,71.7623513329885,7332890.36706634,1206228992.99531,865618287.8336637,-858285397.4665973,6.834218201397852,0.0
Brunei Darussalam,BRN,2021,66.0357885593673,7691801.50567896,895486829.932514,591341789.591216,-583649988.085537,9.5022735240737,0.0
Brunei Darussalam,BRN,2022,61.5152674575624,5802395.14781486,1128137717.57782,693976934.2576361,-688174539.1098212,14.02883782872929,0.0
Brunei Darussalam,BRN,2023,53.9763462502395,34319062.4355903,1641757817.03956,886160883.9156466,-851841821.4800563,26.03289125310251,0.0
Brunei Darussalam,BRN,2024,44.1092502599018,14779729.5845336,1746204730.63087,770237814.6842146,-755458085.099681,29.75862800405896,0.0
Bulgaria,BGR,2018,27.1598493223601,1466180000.0,5861520000.0,1591980000.0000014,-125800000.00000145,8.247341327249302,2.714285714285714
Bulgaria,BGR,2019,30.4406376567082,1863920000.0,5903490000.0,1797060000.000003,66859999.9999969,12.45821952756692,2.877283844051216
Bulgaria,BGR,2020,39.9014850695523,2018120000.0,4764760000.0,1901210000.0,116910000.0,18.77918547118353,3.035998265143848
Bulgaria,BGR,2021,36.2761165172062,2765170000.0,5973710000.0,2167029999.999998,598140000.0000019,28.4900480854313,3.070624360286591
Bulgaria,BGR,2022,34.7579648995721,3179450000.0,7399340000.0,2571859999.9999986,607590000.0000014,43.35076885326786,3.411910669975186
Bulgaria,BGR,2023,40.1431315834091,3927900000.0,7844530000.0,3149040000.000002,778859999.9999981,150.4094063586193,3.413498836307215
Bulgaria,BGR,2024,38.8349060282305,4386980000.0,8334950000.0,3236869999.999998,1150110000.000002,170.0992279113298,3.447735464660711
Burundi,BDI,2018,17.6207165463678,4175544.89490325,222832747.3512005,39264726.78323894,-35089181.88833569,0.0506937396492726,NaN
Burundi,BDI,2019,12.2491770774536,3090074.07360109,256038163.364614,31362568.0163915,-28272493.94279041,0.0669133628674584,NaN
Burundi,BDI,2020,16.7413746037274,4173801.0073893,241321924.781734,40400607.42863536,-36226806.42124606,0.0883231480178189,NaN
Burundi,BDI,2021,6.30248761868536,3257063.44799627,287247480.995193,18103736.92470762,-14846673.476711351,0.1165869266659059,NaN
